gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,participantid,side,position,playername,playerid,teamname,teamid,champion,ban1,ban2,ban3,ban4,ban5,pick1,pick2,pick3,pick4,pick5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,chemtechs,hextechs,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,void_grubs,opp_void_grubs,firstbaron,barons,opp_barons,atakhans,opp_atakhans,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,turretplates,opp_turretplates,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,gpr,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
TREU/1001490141,complete,http://matchhistory.euw.leagueoflegends.com/en/#match-details/TREU/1001490141?gameHash=737dd210b45b8e6f,EU CS,2017,,0,2017-01-11 15:46:32,1,6.24,9,Red,bot,HeaQ,oe:player:1ae36f8dab72157bd28127054e3fc81,ALTERNATE aTTaX,oe:team:503b43b019e9748cc07a115d524f697,Ezreal,Ryze,Camille,Rengar,,,,,,,,2789,0,2,3,9,17,25,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.3657,0.9035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,25976.0,558.824,0.227113,377.7268,0.0,21.0,0.4518,7.0,0.1506,5.0,0.0,0.0,17055.0,11110.0,239.0104,0.224104,16625.0,,,377.0,361.0,16.0,7.0,9.0,8.1104,3289.0,3298.0,86.0,3322.0,3138.0,74.0,-33.0,160.0,12.0,0.0,1.0,1.0,1.0,1.0,1.0,4866.0,4893.0,126.0,5947.0,5398.0,125.0,-1081.0,-505.0,1.0,0.0,2.0,1.0,2.0,2.0,1.0,6460.0,7020.0,165.0,8279.0,8036.0,176.0,-1819.0,-1016.0,-11.0,0.0,4.0,1.0,4.0,2.0,1.0,8073.0,8914.0,208.0,10905.0,11092.0,240.0,-2832.0,-2178.0,-32.0,0.0,4.0,1.0,5.0,3.0,1.0
TREU/1001490183,complete,http://matchhistory.euw.leagueoflegends.com/en/#match-details/TREU/1001490183?gameHash=e805c779941fb9d7,EU CS,2017,,0,2017-01-12 20:03:34,1,6.24,4,Blue,bot,HeaQ,oe:player:1ae36f8dab72157bd28127054e3fc81,ALTERNATE aTTaX,oe:team:503b43b019e9748cc07a115d524f697,Varus,Camille,Ryze,Zyra,,,,,,,,1678,0,5,2,2,10,15,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3576,0.8939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,13249.0,473.7426,0.286353,300.3576,0.0,12.0,0.4291,1.0,0.0358,2.0,0.0,0.0,11881.0,8203.0,293.3135,0.270507,10625.0,,,231.0,221.0,10.0,10.0,0.0,8.2598,3099.0,3199.0,81.0,3243.0,2987.0,84.0,-144.0,212.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,6197.0,5695.0,125.0,5409.0,5159.0,130.0,788.0,536.0,-5.0,2.0,1.0,0.0,0.0,1.0,1.0,8606.0,8032.0,158.0,7572.0,7635.0,183.0,1034.0,397.0,-25.0,4.0,1.0,0.0,0.0,1.0,1.0,10737.0,10573.0,200.0,10176.0,10565.0,222.0,561.0,8.0,-22.0,5.0,2.0,1.0,1.0,5.0,1.0
TREU/1001490184,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TREU/1001490184?gameHash=18d0c8379e7ef9da,EU CS,2017,,0,2017-01-12 21:00:38,1,6.24,4,Blue,bot,HeaQ,oe:player:1ae36f8dab72157bd28127054e3fc81,ALTERNATE aTTaX,oe:team:503b43b019e9748cc07a115d524f697,Ashe,Ryze,Poppy,LeBlanc,,,,,,,,1850,1,6,1,7,18,7,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.5838,0.8108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0,14168.0,459.5027,0.206723,341.7081,0.0,14.0,0.4541,10.0,0.3243,2.0,0.0,0.0,14878.0,10849.0,351.8595,0.252145,13150.0,,,293.0,276.0,17.0,16.0,1.0,9.5027,3242.0,3000.0,89.0,3145.0,2840.0,89.0,97.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5026.0,4971.0,141.0,5162.0,5195.0,152.0,-136.0,-224.0,-11.0,0.0,1.0,0.0,0.0,1.0,0.0,8360.0,7610.0,185.0,6412.0,6354.0,183.0,1948.0,1256.0,2.0,3.0,3.0,0.0,0.0,1.0,1.0,10369.0,9590.0,229.0,8634.0,8625.0,230.0,1735.0,965.0,-1.0,3.0,5.0,1.0,2.0,1.0,2.0
TREU/1001490192,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TREU/1001490192?gameHash=9732a5a35d751ef2,EU CS,2017,,0,2017-01-13 15:43:09,1,6.24,4,Blue,bot,HeaQ,oe:player:1ae36f8dab72157bd28127054e3fc81,ALTERNATE aTTaX,oe:team:503b43b019e9748cc07a115d524f697,Varus,LeBlanc,Rek'Sai,Poppy,,,,,,,,2237,0,2,3,3,9,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2414,0.7242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,11753.0,315.2347,0.194146,366.8932,0.0,16.0,0.4291,5.0,0.1341,3.0,0.0,0.0,13673.0,8854.0,237.4788,0.244658,12905.0,,,348.0,330.0,18.0,10.0,8.0,9.3339,3149.0,2822.0,84.0,3142.0,2788.0,78.0,7.0,34.0,6.0,0.0,0.0,1.0,0.0,1.0,0.0,4717.0,4723.0,124.0,5033.0,4799.0,130.0,-316.0,-76.0,-6.0,0.0,1.0,1.0,0.0,1.0,1.0,6794.0,6791.0,180.0,7020.0,6978.0,184.0,-226.0,-187.0,-4.0,1.0,1.0,1.0,0.0,1.0,1.0,8398.0,8659.0,226.0,9463.0,9084.0,223.0,-1065.0,-425.0,3.0,1.0,2.0,2.0,2.0,2.0,2.0
TREU/1001490209,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TREU/1001490209?gameHash=13cfbb7bfa62d1f3,EU CS,2017,,0,2017-01-14 17:58:34,1,6.24,9,Red,bot,HeaQ,oe:player:1ae36f8dab72157bd28127054e3fc81,ALTERNATE aTTaX,oe:team:503b43b019e9748cc07a115d524f697,Vayne,Camille,Rengar,Illaoi,,,,,,,,1756,1,11,4,8,39,21,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.3326,2.0501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,26502.0,905.5353,0.240604,754.0661,0.0,10.0,0.3417,1.0,0.0342,0.0,0.0,0.0,14440.0,10603.0,362.2893,0.226755,12600.0,,,225.0,224.0,1.0,1.0,0.0,7.6879,3638.0,3437.0,76.0,3358.0,3125.0,63.0,280.0,312.0,13.0,1.0,3.0,0.0,0.0,2.0,2.0,6255.0,6423.0,104.0,4976.0,4997.0,92.0,1279.0,1426.0,12.0,4.0,5.0,1.0,0.0,4.0,4.0,8861.0,8877.0,142.0,7995.0,8059.0,142.0,866.0,818.0,0.0,6.0,6.0,2.0,1.0,6.0,5.0,11034.0,12346.0,193.0,9503.0,9624.0,173.0,1531.0,2722.0,20.0,6.0,7.0,3.0,1.0,6.0,7.0
