playername,teamname,position,offense_dpm_adjusted,offense_kill_participation,offense_damage_per_gold,offense_damage_share,defense_deaths_per_min_adjusted,defense_damage_taken,defense_kda,utility_ward_score_adjusted,utility_assists,utility_assist_ratio,utility_fb_assist,macro_objective_participation_adjusted,macro_turret_plates,macro_vision_score_adjusted,multikill_score,final_reliability,games_played,offense_dpm_adjusted_reliable,offense_kill_participation_reliable,offense_damage_per_gold_reliable,offense_damage_share_reliable,defense_deaths_per_min_adjusted_reliable,defense_damage_taken_reliable,defense_kda_reliable,utility_ward_score_adjusted_reliable,utility_assists_reliable,utility_assist_ratio_reliable,utility_fb_assist_reliable,macro_objective_participation_adjusted_reliable,macro_turret_plates_reliable,macro_vision_score_adjusted_reliable,multikill_score_reliable,offense_dpm_adjusted_reliable_normalized,offense_kill_participation_reliable_normalized,offense_damage_per_gold_reliable_normalized,offense_damage_share_reliable_normalized,defense_damage_taken_reliable_normalized,defense_kda_reliable_normalized,utility_ward_score_adjusted_reliable_normalized,utility_assists_reliable_normalized,utility_assist_ratio_reliable_normalized,utility_fb_assist_reliable_normalized,macro_objective_participation_adjusted_reliable_normalized,macro_turret_plates_reliable_normalized,macro_vision_score_adjusted_reliable_normalized,multikill_score_reliable_normalized,defense_deaths_per_min_adjusted_reliable_normalized,final_offense,final_defense,final_utility,final_macro,final_clutch,final_consistency
Lwx,FunPlus Phoenix,bot,593.3009761904763,0.7168293050897938,1.9049920255323578,0.2967581973684211,0.0919655395598487,476.88036052631577,4.902161654135338,0.7348511904761903,4.5131578947368425,1.6485508278271435,,,,1.1114404761904764,,1.0,84,593.3009761904763,0.7168293050897938,1.9049920255323578,0.2967581973684211,0.0919655395598487,476.88036052631577,4.902161654135338,0.7348511904761903,4.5131578947368425,1.6485508278271435,,,,1.1114404761904764,,50.0,100.0,50.0,100.0,50.0,100.0,50.0,50.0,50.0,75.0,75.0,75.0,100.0,75.0,100.0,72.5,85.0,55.0,80.0,75.0,75.0
Lwx,Royal Never Give Up,bot,593.3009761904764,0.48528102927773975,2.2604869372280865,0.261745625,0.11021633221923022,531.2646,4.858333333333333,0.7348511904761904,4.625,2.213789682539683,,,,1.111440476190476,,1.0,84,593.3009761904764,0.48528102927773975,2.2604869372280865,0.261745625,0.11021633221923022,531.2646,4.858333333333333,0.7348511904761904,4.625,2.213789682539683,,,,1.111440476190476,,100.0,50.0,100.0,50.0,100.0,50.0,100.0,100.0,100.0,75.0,75.0,75.0,50.0,75.0,50.0,77.5,65.0,95.0,70.0,75.0,75.0
