playername,teamname,position,champion,result,game_length_minutes,offense_dpm_adjusted,offense_kill_participation,offense_damage_per_gold,offense_damage_share,defense_deaths_per_min_adjusted,defense_damage_taken,defense_kda,utility_ward_score_adjusted,utility_assists,utility_assist_ratio,utility_fb_assist,macro_objective_participation_adjusted,macro_turret_plates,macro_vision_score_adjusted,multikill_score
Lwx,FunPlus Phoenix,bot,Jinx,0,30.45,517.0780713596718,0.42857142857142855,1.7904095445680854,0.269656,0.19528235694189516,524.4335,0.5,1.1844290633077599,2,2.0,,,,1.5822531966047586,
Lwx,FunPlus Phoenix,bot,Aphelios,1,40.03333333333333,654.9252840092095,0.6,2.124499305158179,0.234015,0.09902327675071954,394.9459,3.75,1.2261039757949481,13,6.5,,,,1.830270682573444,
Lwx,FunPlus Phoenix,bot,Zeri,0,25.05,391.77774875162305,0.8,1.4840579710144928,0.315837,0.15825276830021842,580.6786,1.0,0.5998783076280864,1,0.3333333333333333,,,,0.8814607696386063,
Lwx,FunPlus Phoenix,bot,Xayah,1,27.533333333333335,600.8727421807846,0.95,1.30877893056664,0.31953,0.0,306.3923,19.0,1.055196762566238,8,0.7272727272727273,,,,1.8956123998399819,
Lwx,FunPlus Phoenix,bot,Xayah,0,33.88333333333333,451.4936372842837,0.5,1.6180110968843364,0.317403,0.08774738468589338,437.1471,1.0,0.7687819192949125,1,0.5,,,,1.1256641461508734,
Lwx,FunPlus Phoenix,bot,Zeri,0,38.4,723.3726151537818,0.5714285714285714,2.2233527131782944,0.319136,0.12904400540105704,684.2708,1.6,0.991382052820231,1,0.14285714285714285,,,,1.7251819299189668,
Lwx,FunPlus Phoenix,bot,Zeri,1,28.616666666666667,874.9972046850669,0.95,2.0350934732699244,0.348022,0.03463219434409265,765.3582,19.0,0.8402103149760789,8,0.7272727272727273,,,,1.2276413884593254,
Lwx,FunPlus Phoenix,bot,Lucian,1,24.566666666666666,364.90850438220536,0.8,1.2287057522123894,0.218532,0.0,362.0353,4.0,0.734019432196224,2,1.0,,,,1.1031809746183012,
Lwx,FunPlus Phoenix,bot,Aphelios,0,24.5,233.269414114315,0.0,0.9537037037037037,0.198629,0.12135403609960628,380.7347,0.0,0.5724289662302748,0,0.0,,,,0.9422857783383325,
Lwx,FunPlus Phoenix,bot,Jinx,0,29.116666666666667,343.5035618259985,1.0,1.1786945666389252,0.251478,0.10211244022119131,404.4076,0.6666666666666666,0.6881369564290791,1,1.0,,,,1.1720356874368032,
Lwx,FunPlus Phoenix,bot,Aphelios,0,29.25,546.9141237145208,0.5,2.0146105958582137,0.268022,0.2371762642858402,497.2991,0.7142857142857143,0.6850313740081587,1,0.25,,,,1.0637350531348155,
Lwx,FunPlus Phoenix,bot,Aphelios,0,36.983333333333334,655.6348038868462,0.8461538461538461,1.6474741243402564,0.313465,0.13398710610366624,450.5813,2.2,0.5417738623334487,2,0.2222222222222222,,,,0.7870113749415067,
Lwx,FunPlus Phoenix,bot,Jinx,0,25.116666666666667,648.3244187179018,1.0,2.6258337400357896,0.412896,0.15783272113817406,516.0717,1.0,0.6780187685415646,4,4.0,,,,0.9990959349786708,
Lwx,FunPlus Phoenix,bot,Aphelios,1,40.25,1382.5797351030642,0.8461538461538461,3.559003806697206,0.474884,0.07386767414758644,632.6708,3.6666666666666665,0.8710657790290933,3,0.375,,,,1.3715738347883804,
