id,playername,teamname,year,split,final_offense,final_defense,final_utility,final_macro,final_clutch,final_consistency
1366,Amazing,Fnatic Academy,2017,Summer,82.13687994631695,89.81661806777684,70.59073175734514,,69.9879170701568,92.06363615250375
1378,Cinkrof,Origen,2017,Summer,54.89433780084466,70.5879187437161,53.17737226193815,,55.43299668397718,55.19371085163192
1379,CozQ,Misfits Academy,2017,Summer,74.00840905883528,80.04556789756845,65.72324814242806,,63.22175989620073,76.47304951540968
1384,Dreams,Misfits Academy,2017,Summer,75.39785938674447,82.99824931888236,82.89780611692674,,50.0,99.99352230200793
1391,HeaQ,Giants Gaming,2017,Summer,78.06678522966394,84.47650942793852,75.219144006409,,61.032206248057435,77.58051562014359
1396,Hustlin,Giants Gaming,2017,Summer,52.64081773994414,71.28801050346577,54.45674086443868,,50.0,52.57322581368066
1402,Jisu,Misfits Academy,2017,Summer,56.459768684291035,71.7482269994882,53.97339635414914,,50.64112058026799,55.44744461591533
1404,Kikis,Fnatic Academy,2017,Summer,85.26891275774702,93.91069040698976,85.29355823167833,,58.370410339008394,85.56066373284536
1406,Klaj,Fnatic Academy,2017,Summer,51.87993281237065,70.85206495497943,54.95693877000204,,50.0,51.46658887118718
1415,Memento,Giants Gaming,2017,Summer,57.334861451649545,72.07234882913403,54.877494802313194,,51.879918831091715,56.64191579149274
1419,MrRallez,Fnatic Academy,2017,Summer,58.792937551156754,75.66481712406144,56.79734980876955,,55.93893957618492,57.9185861015799
1420,Naehyun,Origen,2017,Summer,55.91427305566727,71.67545007531233,53.250454207533345,,53.939618724285396,55.91602719940168
1422,NighT,Giants Gaming,2017,Summer,56.60664225518167,72.89873988762834,53.91020371229552,,54.992866153754434,56.248052166930854
1423,Nisqy,Fnatic Academy,2017,Summer,67.34974040530804,83.02066740964106,62.98385790849314,,61.71668479946515,67.59465339454269
1434,Pridestalkr,Misfits Academy,2017,Summer,76.14470259548057,82.27028054360056,66.03519216331607,,50.0,75.49585089976021
1441,Satorius,Origen,2017,Summer,59.62587383464613,73.27767726080707,55.569096316372054,,51.34823706394977,58.59173019986429
1450,Tabzz,Origen,2017,Summer,57.716485714719454,71.26629911510861,55.69271127126202,,50.0,56.866829598876436
1462,Yuuki60,Misfits Academy,2017,Summer,68.06034273142005,84.74079057757407,64.36401107610028,,73.80755305189317,67.31458403774047
1465,fjoompbun,Giants Gaming,2017,Summer,60.43886129602411,72.31393180501617,56.60136974470575,,50.97359524122179,60.34050051992072
1468,xPeke,Origen,2017,Summer,50.205242091405644,69.43478213984774,51.423655480851885,,50.0,50.0
2225,Deftly,eUnited,2017,Summer,50.457371695766845,56.499149288264746,52.658336606873554,,50.0,50.0
2228,Fenix,Gold Coin United,2017,Summer,50.0,70.0,50.0,,50.0,50.0
2230,Fox,eUnited,2017,Summer,67.24596536918202,62.02583596426642,59.418223897350174,,54.30680496539172,67.54174158609476
2234,Gilius,eUnited,2017,Summer,54.822707530806284,62.65004053832724,52.79163577517902,,50.0,54.08732151848119
2247,Licorice,eUnited,2017,Summer,52.49561311648211,68.6885631622298,52.089417803114074,,53.08224129906378,51.50927273972921
2251,MadLife,Gold Coin United,2017,Summer,66.34227117851383,73.59647749980718,59.029313241572986,,50.0,64.17731844922871
2253,Mash,Gold Coin United,2017,Summer,72.85410766871645,71.70662762111574,64.462280333791,,60.93351187407991,78.39790200108799
2271,Santorin,Gold Coin United,2017,Summer,63.61839166777201,75.78169859861353,59.47265431330987,,54.52410570377097,64.07083886984547
2277,Solo,Gold Coin United,2017,Summer,62.84063332716812,73.39974610899331,59.02757910251635,,58.545002303704266,61.24720506670046
2284,Zeyzal,eUnited,2017,Summer,50.0,70.0,50.0,,50.0,50.0
3830,Chingz,XGamers,2017,Summer,54.393239006907265,70.95295742997794,51.73211149961844,,50.0,54.0392452865472
3831,Coool,Team Yetti,2017,Summer,50.0,71.42795240488718,53.22782322982316,,50.0,50.0
3841,Holo,Team Yetti,2017,Summer,62.066410838904545,70.21871166868914,59.99099547324625,,62.59401813808788,61.832820542263306
3842,Jjun,Team Yetti,2017,Summer,57.42457248341952,72.51266428592325,56.434044694556924,,50.0,57.010524290002536
3843,Joy,Team Yetti,2017,Summer,59.501862977268836,72.24286881174021,54.29144129868085,,54.4602478651972,57.62793129892174
3847,Kawa,XGamers,2017,Summer,52.10277872809307,67.71135275558692,50.90509988222547,,50.0,52.340807553246876
3850,LBB,XGamers,2017,Summer,57.23537042729077,67.7511589606576,51.43194219424943,,59.23610386633791,54.6739407034264
3859,Mist,Team Yetti,2017,Summer,55.43263743560233,72.1498549539456,52.884619056649505,,54.373307197870446,55.06142295721978
3864,Nexus,XGamers,2017,Summer,98.42996961625327,68.34553409841992,86.00920955266892,,50.0,98.05854415443694
3872,SIUSIU,XGamers,2017,Summer,55.46444109553043,71.03529150518787,54.39227621158547,,53.97772373818018,55.83090017504866
3886,Zest,XGamers,2017,Summer,66.82211789254498,69.16624245005133,53.197165997424975,,50.0,55.16187093323239
4421,Emtest,HWA Gaming,2017,Summer,70.08199685084462,74.01343202947017,80.75408585097182,,57.13714477065625,72.30357740830078
4430,Inition,Team Turquality,2017,Summer,50.0,65.69349027355594,51.0424618987833,,50.0,50.0
4448,Panky,HWA Gaming,2017,Summer,86.66755757739142,72.91848946206086,85.48756045541502,,50.0,93.68735249742298
4450,Polyokov,HWA Gaming,2017,Summer,60.77964481151874,73.29774984302595,58.7587420766852,,92.08379086910217,57.68466699889945
