gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,participantid,side,position,playername,playerid,teamname,teamid,champion,ban1,ban2,ban3,ban4,ban5,pick1,pick2,pick3,pick4,pick5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,chemtechs,hextechs,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,void_grubs,opp_void_grubs,firstbaron,barons,opp_barons,atakhans,opp_atakhans,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,turretplates,opp_turretplates,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,gpr,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
2721-2814,partial,https://lpl.qq.com/es/stats.shtml?bmid=2721,LPL,2017,Summer,0,2017-08-20 11:53:24,2,7.15,100,Blue,team,,,Newbee,oe:team:7e76012fb69f9e19b2dc690dde98ac1,,Kalista,Rakan,LeBlanc,Cassiopeia,Syndra,,,,,,2255,0,14,21,42,14,21,,,,,0.0,,,,0.3725,0.9313,,0.0,4.0,,,,,,,,,0.0,,,,,,,,,0.0,2.0,,,1.0,1.0,11.0,,,,,,,90464.0,2407.0244,,4118.1552,,110.0,2.9268,43.0,1.1441,29.0,,,67447.0,43170.0,1148.6475,,,,,1210.0,1052.0,158.0,98.0,0.0,32.1951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2721-2814,partial,https://lpl.qq.com/es/stats.shtml?bmid=2721,LPL,2017,Summer,0,2017-08-20 11:53:24,2,7.15,200,Red,team,,,Royal Never Give Up,oe:team:73f3126d91d35faa5d5ce34abadb865,,Corki,Kog'Maw,Elise,Tristana,Twitch,,,,,,2255,1,21,14,53,21,14,,,,,1.0,,,,0.5588,0.9313,,4.0,0.0,,,,,,,,,4.0,,,,,,,,,2.0,0.0,,,0.0,11.0,1.0,,,,,,,122211.0,3251.7339,,3177.1264,,118.0,3.1397,38.0,1.0111,31.0,,,73670.0,49393.0,1314.2262,,,,,1128.0,964.0,164.0,100.0,28.0,30.0133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2724-2815,partial,https://lpl.qq.com/es/stats.shtml?bmid=2724,LPL,2017,Summer,1,2017-08-22 06:20:49,1,7.16,1,Blue,top,Langx,oe:player:4ea6a60f54e4f85fdac464f2d0b3abe,Suning,oe:team:8d47748b0e2a0ac34c90891889805a8,Maokai,Cassiopeia,Rumble,Twitch,Kennen,Orianna,,,,,,1668,0,2,4,5,11,17,,,0.0,0.0,,0.0,,,0.3957,1.0072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11612.0,417.6978,0.201115,971.7266,,9.0,0.3237,6.0,0.2158,1.0,,,9423.0,5765.0,207.3741,0.195869,,,,231.0,215.0,16.0,3.0,0.0,8.3094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2724-2815,partial,https://lpl.qq.com/es/stats.shtml?bmid=2724,LPL,2017,Summer,1,2017-08-22 06:20:49,1,7.16,2,Blue,jng,H4cker,oe:player:5d11b64cb0cf93ea4a5e5c6977aff59,Suning,oe:team:8d47748b0e2a0ac34c90891889805a8,Gragas,Cassiopeia,Rumble,Twitch,Kennen,Orianna,,,,,,1668,0,1,4,7,11,17,,,0.0,0.0,,0.0,,,0.3957,1.0072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6093.0,219.1727,0.105528,787.4101,,27.0,0.9712,7.0,0.2518,10.0,,,8428.0,4770.0,171.5827,0.162064,,,,131.0,25.0,106.0,65.0,2.0,4.7122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2724-2815,partial,https://lpl.qq.com/es/stats.shtml?bmid=2724,LPL,2017,Summer,1,2017-08-22 06:20:49,1,7.16,3,Blue,mid,Fenfen,oe:player:cf927db4524390111a8ff429febe376,Suning,oe:team:8d47748b0e2a0ac34c90891889805a8,Lucian,Cassiopeia,Rumble,Twitch,Kennen,Orianna,,,,,,1668,0,1,3,3,11,17,,,0.0,0.0,,0.0,,,0.3957,1.0072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11672.0,419.8561,0.202155,553.4892,,15.0,0.5396,8.0,0.2878,5.0,,,10113.0,6455.0,232.1942,0.219311,,,,272.0,269.0,3.0,3.0,0.0,9.7842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2724-2815,partial,https://lpl.qq.com/es/stats.shtml?bmid=2724,LPL,2017,Summer,1,2017-08-22 06:20:49,1,7.16,4,Blue,bot,Fury,oe:player:9607669518f1847eb28362fa3b75f2f,Suning,oe:team:8d47748b0e2a0ac34c90891889805a8,Kog'Maw,Cassiopeia,Rumble,Twitch,Kennen,Orianna,,,,,,1668,0,7,2,4,11,17,,,1.0,0.0,,0.0,,,0.3957,1.0072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26747.0,962.1223,0.463248,390.6835,,12.0,0.4317,8.0,0.2878,3.0,,,11500.0,7842.0,282.0863,0.266435,,,,235.0,232.0,3.0,2.0,0.0,8.4532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2724-2815,partial,https://lpl.qq.com/es/stats.shtml?bmid=2724,LPL,2017,Summer,1,2017-08-22 06:20:49,1,7.16,5,Blue,sup,Yoon,oe:player:bd1f1cdbac1cc218734749f458c1543,Suning,oe:team:8d47748b0e2a0ac34c90891889805a8,Lulu,Cassiopeia,Rumble,Twitch,Kennen,Orianna,,,,,,1668,0,0,4,10,11,17,,,0.0,0.0,,0.0,,,0.3957,1.0072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1614.0,58.0576,0.0279539,312.1583,,30.0,1.0791,6.0,0.2158,12.0,,,8259.0,4601.0,165.5036,0.156322,,,,8.0,8.0,0.0,0.0,0.0,0.2878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2724-2815,partial,https://lpl.qq.com/es/stats.shtml?bmid=2724,LPL,2017,Summer,1,2017-08-22 06:20:49,1,7.16,6,Red,top,TheShy,oe:player:37f20525a39d17ec49fd10294f9c994,Invictus Gaming,oe:team:53a258f289c26d94431c0496a54e151,Cho'Gath,Kassadin,Thresh,Elise,Taliyah,Jax,,,,,,1668,1,3,2,5,17,11,,,0.0,0.0,,0.0,,,0.6115,1.0072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13182.0,474.1727,0.205982,1122.8777,,15.0,0.5396,0.0,0.0,3.0,,,11594.0,7936.0,285.4676,0.189336,,,,238.0,222.0,16.0,4.0,2.0,8.5612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2724-2815,partial,https://lpl.qq.com/es/stats.shtml?bmid=2724,LPL,2017,Summer,1,2017-08-22 06:20:49,1,7.16,7,Red,jng,Ning,oe:player:9b22cace0315e520c50f1b8f8ac434c,Invictus Gaming,oe:team:53a258f289c26d94431c0496a54e151,Jarvan IV,Kassadin,Thresh,Elise,Taliyah,Jax,,,,,,1668,1,2,4,8,17,11,,,0.0,0.0,,0.0,,,0.6115,1.0072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5285.0,190.1079,0.0825833,872.2302,,24.0,0.8633,13.0,0.4676,10.0,,,10269.0,6611.0,237.8058,0.157724,,,,109.0,22.0,87.0,55.0,18.0,3.9209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2724-2815,partial,https://lpl.qq.com/es/stats.shtml?bmid=2724,LPL,2017,Summer,1,2017-08-22 06:20:49,1,7.16,8,Red,mid,Rookie,oe:player:1213778b5c6d69dcb26aa89f7d0aaa9,Invictus Gaming,oe:team:53a258f289c26d94431c0496a54e151,Corki,Kassadin,Thresh,Elise,Taliyah,Jax,,,,,,1668,1,6,1,7,17,11,,,0.0,0.0,,0.0,,,0.6115,1.0072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21055.0,757.3741,0.329005,494.0647,,11.0,0.3957,7.0,0.2518,7.0,,,13958.0,10300.0,370.5036,0.245735,,,,261.0,241.0,20.0,11.0,7.0,9.3885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2724-2815,partial,https://lpl.qq.com/es/stats.shtml?bmid=2724,LPL,2017,Summer,1,2017-08-22 06:20:49,1,7.16,9,Red,bot,West,oe:player:bf495fc048d8d44b7f32536df5cf393,Invictus Gaming,oe:team:53a258f289c26d94431c0496a54e151,Tristana,Kassadin,Thresh,Elise,Taliyah,Jax,,,,,,1668,1,6,2,8,17,11,,,0.0,0.0,,1.0,,,0.6115,1.0072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19887.0,715.3597,0.310754,462.2302,,12.0,0.4317,8.0,0.2878,3.0,,,15231.0,11573.0,416.295,0.276106,,,,296.0,266.0,30.0,13.0,8.0,10.6475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2724-2815,partial,https://lpl.qq.com/es/stats.shtml?bmid=2724,LPL,2017,Summer,1,2017-08-22 06:20:49,1,7.16,10,Red,sup,Baolan,oe:player:158c720179ac94f4bbe38b809ff1702,Invictus Gaming,oe:team:53a258f289c26d94431c0496a54e151,Blitzcrank,Kassadin,Thresh,Elise,Taliyah,Jax,,,,,,1668,1,0,2,12,17,11,,,0.0,0.0,,0.0,,,0.6115,1.0072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4587.0,165.0,0.0716764,314.6763,,33.0,1.1871,5.0,0.1799,9.0,,,9153.0,5495.0,197.6619,0.131099,,,,8.0,8.0,0.0,0.0,0.0,0.2878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2724-2815,partial,https://lpl.qq.com/es/stats.shtml?bmid=2724,LPL,2017,Summer,1,2017-08-22 06:20:49,1,7.16,100,Blue,team,,,Suning,oe:team:8d47748b0e2a0ac34c90891889805a8,,Cassiopeia,Rumble,Twitch,Kennen,Orianna,,,,,,1668,0,11,17,29,11,17,,,,,0.0,,,,0.3957,1.0072,,1.0,1.0,,,,,,,,,1.0,,,,,,,,,0.0,1.0,,,0.0,0.0,11.0,,,,,,,57738.0,2076.9065,,3015.4676,,93.0,3.3453,35.0,1.259,31.0,,,47723.0,29433.0,1058.741,,,,,877.0,749.0,128.0,73.0,2.0,31.5468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2724-2815,partial,https://lpl.qq.com/es/stats.shtml?bmid=2724,LPL,2017,Summer,1,2017-08-22 06:20:49,1,7.16,200,Red,team,,,Invictus Gaming,oe:team:53a258f289c26d94431c0496a54e151,,Kassadin,Thresh,Elise,Taliyah,Jax,,,,,,1668,1,17,11,40,17,11,,,,,1.0,,,,0.6115,1.0072,,1.0,1.0,,,,,,,,,1.0,,,,,,,,,1.0,0.0,,,1.0,11.0,0.0,,,,,,,63996.0,2302.0144,,3266.0791,,95.0,3.4173,33.0,1.1871,32.0,,,60205.0,41915.0,1507.7338,,,,,912.0,759.0,153.0,83.0,35.0,32.8058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2724-2816,partial,https://lpl.qq.com/es/stats.shtml?bmid=2724,LPL,2017,Summer,1,2017-08-22 07:09:03,2,7.16,1,Blue,top,TheShy,oe:player:37f20525a39d17ec49fd10294f9c994,Invictus Gaming,oe:team:53a258f289c26d94431c0496a54e151,Jarvan IV,Kassadin,Jax,Thresh,Renekton,Vladimir,,,,,,1422,1,0,6,15,22,9,,,0.0,0.0,,0.0,,,0.9283,1.308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9001.0,379.789,0.153713,705.8228,,12.0,0.5063,3.0,0.1266,4.0,,,9201.0,6045.0,255.0633,0.165925,,,,141.0,129.0,12.0,2.0,0.0,5.9494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2724-2816,partial,https://lpl.qq.com/es/stats.shtml?bmid=2724,LPL,2017,Summer,1,2017-08-22 07:09:03,2,7.16,2,Blue,jng,Ning,oe:player:9b22cace0315e520c50f1b8f8ac434c,Invictus Gaming,oe:team:53a258f289c26d94431c0496a54e151,Gragas,Kassadin,Jax,Thresh,Renekton,Vladimir,,,,,,1422,1,6,1,11,22,9,,,0.0,0.0,,1.0,,,0.9283,1.308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7948.0,335.3586,0.135731,721.4346,,22.0,0.9283,7.0,0.2954,7.0,,,9640.0,6484.0,273.5865,0.177975,,,,89.0,14.0,75.0,42.0,17.0,3.7553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2724-2816,partial,https://lpl.qq.com/es/stats.shtml?bmid=2724,LPL,2017,Summer,1,2017-08-22 07:09:03,2,7.16,3,Blue,mid,Rookie,oe:player:1213778b5c6d69dcb26aa89f7d0aaa9,Invictus Gaming,oe:team:53a258f289c26d94431c0496a54e151,Syndra,Kassadin,Jax,Thresh,Renekton,Vladimir,,,,,,1422,1,6,1,8,22,9,,,0.0,0.0,,0.0,,,0.9283,1.308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20284.0,855.865,0.346398,315.6118,,8.0,0.3376,5.0,0.211,3.0,,,11320.0,8164.0,344.4726,0.224089,,,,215.0,201.0,14.0,3.0,10.0,9.0717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
