gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,participantid,side,position,playername,playerid,teamname,teamid,champion,ban1,ban2,ban3,ban4,ban5,pick1,pick2,pick3,pick4,pick5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,chemtechs,hextechs,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,void_grubs,opp_void_grubs,firstbaron,barons,opp_barons,atakhans,opp_atakhans,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,turretplates,opp_turretplates,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,gpr,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
2054-2047,partial,https://lpl.qq.com/es/stats.shtml?bmid=2054,LPL,2017,Spring,0,2017-04-08 09:08:00,1,7.06,1,Blue,top,Humble,oe:player:f664d284830632bdc774717de3d4e89,EDward Gaming,oe:team:056c3140a119e44a03d462e2c832f27,Nautilus,Talon,Malzahar,Elise,Kog'Maw,Ezreal,,,,,,1964,1,2,0,8,13,0,,,,,,,,,0.3971,0.3971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12000.0,7738.0,236.3951,0.192058,,,,225.0,,,,,6.8737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2054-2047,partial,https://lpl.qq.com/es/stats.shtml?bmid=2054,LPL,2017,Spring,0,2017-04-08 09:08:00,1,7.06,2,Blue,jng,Fireloli,oe:player:9f820219a9712dc03a7ceacbb2d2e18,EDward Gaming,oe:team:056c3140a119e44a03d462e2c832f27,Graves,Talon,Malzahar,Elise,Kog'Maw,Ezreal,,,,,,1964,1,4,0,6,13,0,,,,,,,,,0.3971,0.3971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12400.0,8138.0,248.6151,0.201986,,,,170.0,,,,,5.1935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2054-2047,partial,https://lpl.qq.com/es/stats.shtml?bmid=2054,LPL,2017,Spring,0,2017-04-08 09:08:00,1,7.06,3,Blue,mid,Scout,oe:player:71e79ef80600d398d90cfebe3b0b758,EDward Gaming,oe:team:056c3140a119e44a03d462e2c832f27,Taliyah,Talon,Malzahar,Elise,Kog'Maw,Ezreal,,,,,,1964,1,6,0,2,13,0,,,,,,,,,0.3971,0.3971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14900.0,10638.0,324.9898,0.264034,,,,299.0,,,,,9.1344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2054-2047,partial,https://lpl.qq.com/es/stats.shtml?bmid=2054,LPL,2017,Spring,0,2017-04-08 09:08:00,1,7.06,4,Blue,bot,Zet,oe:player:ee5a58b78187701cfcb5ee25b4324c7,EDward Gaming,oe:team:056c3140a119e44a03d462e2c832f27,Caitlyn,Talon,Malzahar,Elise,Kog'Maw,Ezreal,,,,,,1964,1,0,0,8,13,0,,,,,,,,,0.3971,0.3971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12500.0,8238.0,251.6701,0.204467,,,,263.0,,,,,8.0346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2054-2047,partial,https://lpl.qq.com/es/stats.shtml?bmid=2054,LPL,2017,Spring,0,2017-04-08 09:08:00,1,7.06,5,Blue,sup,Meiko,oe:player:bda7cc061d7a1576f1dcad33dd505cd,EDward Gaming,oe:team:056c3140a119e44a03d462e2c832f27,Karma,Talon,Malzahar,Elise,Kog'Maw,Ezreal,,,,,,1964,1,1,0,11,13,0,,,,,,,,,0.3971,0.3971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9800.0,5538.0,169.1853,0.137455,,,,31.0,,,,,0.947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2054-2047,partial,https://lpl.qq.com/es/stats.shtml?bmid=2054,LPL,2017,Spring,0,2017-04-08 09:08:00,1,7.06,6,Red,top,957,oe:player:2ba596643cbbbc20318224181fa46b2,Team WE,oe:team:62c1cd9465dc63824593ee5046f5aa8,Gragas,Ashe,Varus,Syndra,Thresh,Zyra,,,,,,1964,0,0,3,0,0,13,,,,,,,,,0.0,0.3971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9400.0,5138.0,156.9654,0.202363,,,,239.0,,,,,7.3014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2054-2047,partial,https://lpl.qq.com/es/stats.shtml?bmid=2054,LPL,2017,Spring,0,2017-04-08 09:08:00,1,7.06,7,Red,jng,Condi,oe:player:4792ad71dfce44c8d35765c41c07cca,Team WE,oe:team:62c1cd9465dc63824593ee5046f5aa8,Lee Sin,Ashe,Varus,Syndra,Thresh,Zyra,,,,,,1964,0,0,6,0,0,13,,,,,,,,,0.0,0.3971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8500.0,4238.0,129.4705,0.166918,,,,127.0,,,,,3.8798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2054-2047,partial,https://lpl.qq.com/es/stats.shtml?bmid=2054,LPL,2017,Spring,0,2017-04-08 09:08:00,1,7.06,8,Red,mid,xiye,oe:player:adf9d4f627b07e1c80f85c1e25f4bb8,Team WE,oe:team:62c1cd9465dc63824593ee5046f5aa8,Vladimir,Ashe,Varus,Syndra,Thresh,Zyra,,,,,,1964,0,0,2,0,0,13,,,,,,,,,0.0,0.3971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10800.0,6538.0,199.7352,0.2575,,,,306.0,,,,,9.3483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2054-2047,partial,https://lpl.qq.com/es/stats.shtml?bmid=2054,LPL,2017,Spring,0,2017-04-08 09:08:00,1,7.06,9,Red,bot,Mystic,oe:player:7b28158d613ea1869441676fa32a3b5,Team WE,oe:team:62c1cd9465dc63824593ee5046f5aa8,Lucian,Ashe,Varus,Syndra,Thresh,Zyra,,,,,,1964,0,0,1,0,0,13,,,,,,,,,0.0,0.3971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11000.0,6738.0,205.8452,0.265377,,,,307.0,,,,,9.3788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2054-2047,partial,https://lpl.qq.com/es/stats.shtml?bmid=2054,LPL,2017,Spring,0,2017-04-08 09:08:00,1,7.06,10,Red,sup,Ben,oe:player:092f2ba9f39fbc2876e64d12cd662f7,Team WE,oe:team:62c1cd9465dc63824593ee5046f5aa8,Lulu,Ashe,Varus,Syndra,Thresh,Zyra,,,,,,1964,0,0,1,0,0,13,,,,,,,,,0.0,0.3971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7000.0,2738.0,83.6456,0.107842,,,,25.0,,,,,0.7637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
